Column1,Column2
trite,"adj. 陈腐的，⽼套的 (of a remark, opinion, or idea) overused and consequently of little import; lacking originality or"
obviate,vt. 排除；避免；消除
seductive,adj. 有魅力的；性感的；引人注意的
ominous,adj. 预兆的；不吉利的
induce,vt. 诱导；引起；引诱；感应
detestation,n. 嫌恶，痛恨，憎恶；令人厌恶的人
deviously,adv. 绕道地；弯曲地
ample,adj. 丰富的；足够的；宽敞的
penurious,adj. 吝啬的；缺乏的；贫困的
surrogate,adj. 替代的，代理的
contempt,n. 轻视，蔑视；耻辱
rambling,adj. （⾔辞、⽂字）冗长⽽混乱的，不切题的 (of writing or speech) lengthy and confused or inconsequential: I am 
wane,"v.i. 衰减；衰落；败落 to become smaller or less; to decrease in size, amount, length, or quality: His reputation is"
intimate,adj. 熟悉的；亲密的；密切的 private and personal: an intimate friend ⾄交 | There was an intimate charm in the
awash,adj. 充沛的；充斥的，泛滥的 containing large numbers or amounts of someone or something: The market is awash
insolent,adj. 无礼的；傲慢的；粗野的；无耻的
indigent,adj. 贫困的；贫穷的（副词indigently）
nebulous,"adj. 模糊的，不清楚的，模棱两可的 (of a concept or idea) unclear, vague, or ill-defined: nebulous memory 模糊的"
paean,n. 赞美歌，欢乐歌
grumble,v.i. 抱怨；发牢骚 complain or protest about something in a bad-tempered but typically muted way: grumble about
stale,adj. 陈腐的，过时的；没有新意的 (of a person) no longer able to perform well or creatively because of having done
quibble,v.i. 吹⽑求疵；找岔⼦；（为⼩事）争吵 argue or raise objections about a trivial matter: quibble about/over
ramification,"n. 影响；后果 a consequence of an action or event, especially when complex or unwelcome; a subdivision of a"
meteoric,"adj. （发展进程）极快的，飞⼀般的 (of the development of something, especially a person's career) very rapid: a"
snappish,adj. 厉声说话的；没好⽓的 given to curt irritable speech: a snappish person 对⼈说话恶声恶⽓的⼈ | a snappish
obfuscate,"v.t. 使混乱，使难懂，使不清楚 render obscure, unclear, or unintelligible: obfuscate the issue 使问题变混乱"
vexatious,"adj. 令⼈恼⽕的；令⼈苦恼的；令⼈伤脑筋的 causing or tending to cause annoyance, frustration,"
opprobrious,adj. 蔑视的；辱骂的 (or language) expressing scorn or criticism: opprobrious language 骂⼈的话
numinous,"adj. 超⾃然的，神秘的 supernatural, mysterious: the strange, numinous beauty of this ancient landmark 古代遗迹神"
candor,n. 坦率；坦诚；真诚 the quality of being open and honest in expression; frankness: He expressed his views with
inattentive,adj. 疏忽的；怠慢的；不注意的
prospect,n. 前途；预期；景色
overture,n. 序⾔；序曲；事件的开端 an introduction to something more substantial: I sensed that this was the overture to
apprehension,n. 担忧，忧虑，焦虑 anxiety or fear that something bad or unpleasant will happen: I picked up the phone with
entreat,v.t. 恳求；乞求；请求 ask someone earnestly or anxiously to do something: I entreated him that he spare me this
transience,n. 短暂；无常；顷刻（等于transiency）
garrulous,"adj. 话多的，喋喋不休的 excessively talkative, especially on trivial matters: garrulous speeches 啰嗦的演讲"
staleness,n. 腐败；陈腐；不新鲜；泄气
astute,adj. 机敏的；狡猾的，诡计多端的
guileless,adj. ⽼实的；单纯的 devoid of guile; innocent and without deception: She had the guileless innocence of a child. 她
augur,v.i. (augur well/badly/ill) 是好（或不好）的预兆 (of an event or circumstance) portend a good or bad outcome: The
vilify,v.t. 污蔑，诋毁，中伤 speak or write about in an abusively disparaging manner: vilify sb.’s character 污蔑某⼈的⼈
sacrosanct,"adj. 极其神圣的；不可侵犯的 (especially of a principle, place, or routine) regarded as too important or valuable to be"
snob,n. 对地位⾼于⾃⼰者极⼒攀附、对地位低于⾃⼰者冷落蔑视的⼈，势利眼 a person with an exaggerated respect
somnolent,adj. 催眠的，想睡的
ponderous,"adj. 枯燥乏味的，过于严肃的 dull, laborious, or excessively solemn: He writes in a very ponderous fashion. 他写的"
beset,v.t. 困扰，使苦恼 (of a problem or difficulty) trouble or threaten persistently: problems besetting the country 使国家
evasive,adj. 逃避的；托辞的；推托的
heedless,adj. 不注意的，掉以轻⼼的 showing a reckless lack of care or attention: be heedless of danger 不注意危险 |
quandary,n. 窘境，⽆所适从 a state of perplexity or doubt: be in a quandary about what to do 不知怎么办才好 | put/thrust
impetuous,adj. 急躁的，鲁莽的；冲动的 acting or done quickly and without thought or care: be impetuous in one’s habits ⽣性
salutary,adj. 有益的，有利的 (especially with reference to something unwelcome or unpleasant) producing good effects;
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
intrepid,adj. 勇敢的；⽆畏的 very brave; not afraid of danger or difficulties: an intrepid fighter ⽆畏的战⼠ | an intrepid
umbrage,n. ⽣⽓，不愉快 offense or annoyance: feel umbrage at a social snub 因社交上受到冷落⽽感到不⾼兴 | He gave
crass,"adj. 粗俗的；粗俗的；愚钝的 lacking sensitivity, refinement, or intelligence: crass commercialism 粗俗的铜臭 |"
austere,"adj. 严厉的，严肃的 severe or strict in manner, attitude, or appearance: an austere expression 严肃的表情"
conundrum,n. 谜；难题 a confusing and difficult problem or question: pose a major conundrum for commentators 向评论员们
rankle,v.t. 激怒，使恼⽕
fusty,adj. 守旧的；古板的；过时的 old-fashioned in attitude or style: a fusty idea 守旧的思想
fudge,n. 含糊其辞，搪塞 an instance of faking or ambiguity: His response to these charges has been a series of denials
contemplate,v.t. 思考，考虑 think about: contemplate one’s future 考虑⾃⼰的前途 | contemplate what to do 仔细考虑该做什么
malodorous,adj. 难闻的，恶臭的 having an unpleasant smell: malodorous cheeses 臭乳酪
paltry,adj. 极少的，微不⾜道的 (of an amount) small or meager: a paltry wage 菲薄的⼯资
egregious,adj. 惊人的；过分的；恶名昭彰的
importunate,"adj. 再三要求的；纠缠不休的；胡搅蛮缠的 persistent, especially to the point of annoyance or intrusion: an"
spurn,v.t. 蔑视，鄙视，对……不屑⼀顾 reject with disdain or contempt: She spurned their offer. 她对他们的提议嗤之以
taciturn,adj. 沉默寡⾔的，不爱说话的 (of a person) reserved or uncommunicative in speech; saying little: a brooding and
austerity,n. 紧缩；朴素；苦行；严厉
quixotic,adj. 不切实际的；空想的 exceedingly idealistic; unrealistic and impractical: a quixotic vision ⼀个不切实际的想法
